ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,694,Airbus Industrie A320-100/200,20490.0,9337.0,,134.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,698,Airbus Industrie A319,36647.0,964.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,721,Airbus Industrie A321-200n,781.0,50.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,888,Boeing 737-900ER,2797.0,10619.0,32896.0,35789.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,6805.0,78.0,5019.0,9375.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,614,Boeing 737-800,22791.0,1263.0,6028.0,38470.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,710.0,,235.0,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,634,Boeing 737-900,445.0,254.0,,7083.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,694,Airbus Industrie A320-100/200,15647.0,7821.0,8542.0,74832.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,698,Airbus Industrie A319,36427.0,7866.0,11526.0,42272.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,888,Boeing 737-900ER,12969.0,982.0,8628.0,22024.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20237.0,Trans States Airlines,675,Embraer-145,6569.0,2592.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20304.0,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,14842.0,21397.0,33860.0,11852.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20304.0,SkyWest Airlines Inc.,631,Canadair RJ-700,58108.0,24946.0,39563.0,23416.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20304.0,SkyWest Airlines Inc.,638,Canadair CRJ 900,467.0,2070.0,1299.0,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20304.0,SkyWest Airlines Inc.,673,Embraer ERJ-175,127330.0,69664.0,154737.0,210002.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20366.0,ExpressJet Airlines LLC d/b/a aha!,673,Embraer ERJ-175,1625.0,3557.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20366.0,ExpressJet Airlines LLC d/b/a aha!,675,Embraer-145,12428.0,6936.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20368.0,Allegiant Air,694,Airbus Industrie A320-100/200,277.0,488.0,1677.0,820.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20368.0,Allegiant Air,698,Airbus Industrie A319,25148.0,7173.0,12930.0,2150.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20378.0,Mesa Airlines Inc.,629,Canadair RJ-200ER /RJ-440,277.0,,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20378.0,Mesa Airlines Inc.,631,Canadair RJ-700,605.0,,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20378.0,Mesa Airlines Inc.,638,Canadair CRJ 900,104020.0,27077.0,65963.0,17444.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20378.0,Mesa Airlines Inc.,673,Embraer ERJ-175,40763.0,8882.0,22839.0,19841.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20398.0,Envoy Air,631,Canadair RJ-700,10676.0,,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20398.0,Envoy Air,673,Embraer ERJ-175,498.0,44803.0,65600.0,40302.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20409.0,JetBlue Airways,694,Airbus Industrie A320-100/200,39316.0,7403.0,25481.0,42830.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20409.0,JetBlue Airways,699,Airbus Industrie A321/Lr,2620.0,142.0,1248.0,957.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20416.0,Spirit Air Lines,694,Airbus Industrie A320-100/200,818.0,,,2311.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20436.0,Frontier Airlines Inc.,694,Airbus Industrie A320-100/200,3352.0,1186.0,4824.0,1635.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20436.0,Frontier Airlines Inc.,698,Airbus Industrie A319,8420.0,143.0,1407.0,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20436.0,Frontier Airlines Inc.,699,Airbus Industrie A321/Lr,524.0,,427.0,730.0
