ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
13495,MSY,LA,Louis Armstrong New Orleans International,New Orleans,57575,30390,36557,48052
13502,MTJ,CO,Montrose Regional,Montrose/Delta,2987,2089,3058,2983
13541,MVY,MA,Martha's Vineyard Airport,Martha's Vineyard,4403,2560,4652,4367
13543,MWA,IL,Veterans Airport of Southern Illinois,Marion/Herrin,1849,1904,1852,1716
13577,MYR,SC,Myrtle Beach International,Myrtle Beach,11932,7782,16729,16521
16218,YUM,AZ,Yuma MCAS/Yuma International,Yuma,1932,1322,1965,1651
13795,OAJ,NC,Albert J Ellis,Jacksonville/Camp Lejeune,3381,2545,3144,2379
13796,OAK,CA,Metro Oakland International,Oakland,54425,29785,35222,47125
13829,OGD,UT,Ogden-Hinckley,Ogden,108,87,250,93
13832,OGS,NY,Ogdensburg International,Ogdensburg,833,610,611,527
13851,OKC,OK,Will Rogers World,Oklahoma City,25834,15885,19826,20994
13871,OMA,NE,Eppley Airfield,Omaha,27104,16562,20897,21511
13891,ONT,CA,Ontario International,Ontario,23030,15516,20054,23354
13930,ORD,IL,Chicago O'Hare International,Chicago,392793,215965,285802,291702
13931,ORF,VA,Norfolk International,Norfolk,26628,14304,19318,23076
13933,ORH,MA,Worcester Regional,Worcester,1666,635,360,1618
13964,OTH,OR,Southwest Oregon Regional,North Bend/Coos Bay,364,294,328,332
13983,OWB,KY,Owensboro Daviess County Regional,Owensboro,1164,1179,1159,1094
14004,PAE,WA,Snohomish County,Everett,6929,2727,2131,4229
14006,PAH,KY,Barkley Regional,Paducah,1239,650,700,796
14025,PBG,NY,Plattsburgh International,Plattsburgh,1345,966,783,957
14027,PBI,FL,Palm Beach International,West Palm Beach/Palm Beach,26806,15918,21796,24498
14057,PDX,OR,Portland International,Portland,88227,49717,56625,59640
14081,PGA,AZ,Page Municipal,Page,704,560,586,585
14082,PGD,FL,Punta Gorda Airport,Punta Gorda,5337,5143,5876,5935
14092,PGV,NC,Pitt Greenville,Greenville,1484,683,907,786
14098,PHF,VA,Newport News/Williamsburg International,Newport News/Williamsburg,3938,1993,1903,1700
14100,PHL,PA,Philadelphia International,Philadelphia,153660,85267,102108,102226
14107,PHX,AZ,Phoenix Sky Harbor International,Phoenix,179345,119729,161978,166309
14108,PIA,IL,General Downing - Peoria International,Peoria,5873,3722,3441,3771
14109,PIB,MS,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,694,586,606,660
14112,PIE,FL,St Pete Clearwater International,St. Petersburg,7697,6302,7485,7661
14113,PIH,ID,Pocatello Regional,Pocatello,1101,855,945,367
14120,PIR,SD,Pierre Regional,Pierre,631,584,910,617
14122,PIT,PA,Pittsburgh International,Pittsburgh,57617,33878,38192,43820
14150,PLN,MI,Pellston Regional Airport of Emmet County,Pellston,1060,907,898,733
14193,PNS,FL,Pensacola International,Pensacola,14173,9929,14916,12139
14231,PQI,ME,Presque Isle International,Presque Isle/Houlton,568,403,536,579
14237,PRC,AZ,Prescott Regional Ernest A Love Field,Prescott,730,690,971,729
14252,PSC,WA,Tri Cities,Pasco/Kennewick/Richland,6975,4558,5944,5991
14259,PSM,NH,Portsmouth International at Pease,Portsmouth,422,280,331,365
14262,PSP,CA,Palm Springs International,Palm Springs,12653,9414,13677,14804
14288,PUB,CO,Pueblo Memorial,Pueblo,924,719,656,516
14303,PUW,WA,Pullman Moscow Regional,Pullman,1280,807,947,1351
14306,PVC,MA,Provincetown Municipal,Provincetown,2116,909,1727,1492
14307,PVD,RI,Rhode Island Tf Green International,Providence,19860,9772,12651,16915
14314,PVU,UT,Provo Municipal,Provo,740,579,896,1456
14321,PWM,ME,Portland International Jetport,Portland,14792,7971,11618,11380
14457,RAP,SD,Rapid City Regional,Rapid City,6145,4053,5974,4553
14487,RDD,CA,Redding Municipal,Redding,1364,652,1321,1951
14489,RDM,OR,Roberts Field,Bend/Redmond,8788,6752,8222,8039
14492,RDU,NC,Raleigh-Durham International,Raleigh/Durham,69320,32509,43802,52886
14512,RFD,IL,Chicago/Rockford International,Rockford,787,701,769,773
14520,RHI,WI,Rhinelander/Oneida County,Rhinelander,796,686,925,711
14524,RIC,VA,Richmond International,Richmond,28816,14418,19514,23900
14534,RIW,WY,Central Wyoming Regional,Riverton/Lander,1020,486,576,391
14543,RKS,WY,Southwest Wyoming Regional,Rock Springs,715,525,573,390
14570,RNO,NV,Reno/Tahoe International,Reno,23348,13824,20647,19896
14574,ROA,VA,Roanoke Blacksburg Regional,Roanoke,7258,4616,5323,5667
14576,ROC,NY,Frederick Douglass Grtr Rochester International,Rochester,18369,9263,11537,15667
14588,ROW,NM,Roswell Air Center,Roswell,1406,785,1194,1245
14633,RST,MN,Rochester International,Rochester,4091,2295,2873,1738
14635,RSW,FL,Southwest Florida International,Fort Myers,35213,28973,41194,36063
14674,SAF,NM,Santa Fe Municipal,Santa Fe,2802,1538,2075,2507
14679,SAN,CA,San Diego International,San Diego,98073,53172,63650,84594
14683,SAT,TX,San Antonio International,San Antonio,42359,22500,27999,34468
14685,SAV,GA,Savannah/Hilton Head International,Savannah,18568,10780,18148,18498
14689,SBA,CA,Santa Barbara Municipal,Santa Barbara,9894,5293,7139,7750
14696,SBN,IN,South Bend International,South Bend,7709,5129,6133,5585
14698,SBP,CA,San Luis County Regional,San Luis Obispo,5532,3934,3841,4953
14704,SBY,MD,Salisbury-Ocean City/Wicomico Regional,Salisbury,1905,1372,1576,1212
14711,SCE,PA,University Park,State College,4992,2789,3201,2537
14716,SCK,CA,Stockton Metro,Stockton,1032,596,644,599
14730,SDF,KY,Louisville Muhammad Ali International,Louisville,27957,15437,20903,22381
14747,SEA,WA,Seattle/Tacoma International,Seattle,191481,128663,166105,170993
14761,SFB,FL,Orlando Sanford International,Sanford,10755,7550,9452,8836
14771,SFO,CA,San Francisco International,San Francisco,173150,87413,98331,129112
14783,SGF,MO,Springfield-Branson National,Springfield,10933,6922,8411,8363
14794,SGU,UT,St George Regional,St. George,2600,2653,3832,2855
14802,SHD,VA,Shenandoah Valley Regional,Staunton,696,686,690,701
14812,SHR,WY,Sheridan County,Sheridan,715,477,712,622
14814,SHV,LA,Shreveport Regional,Shreveport,7032,4543,5460,5227
14831,SJC,CA,Norman Y. Mineta San Jose International,San Jose,69815,34133,37717,52300
14842,SJT,TX,San Angelo Regional/Mathis Field,San Angelo,1855,1202,2042,1387
14869,SLC,UT,Salt Lake City International,Salt Lake City,121186,90073,118871,109164
14877,SLN,KS,Salina Regional,Salina,916,644,685,812
14893,SMF,CA,Sacramento International,Sacramento,57415,34622,42983,52795
14905,SMX,CA,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,194,139,315,130
14908,SNA,CA,John Wayne Airport-Orange County,Santa Ana,43977,23891,36211,45978
14952,SPI,IL,Abraham Lincoln Capital,Springfield,1746,1145,1419,1310
14960,SPS,TX,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,1223,740,1240,1082
14986,SRQ,FL,Sarasota/Bradenton International,Sarasota/Bradenton,8647,7674,16131,15184
15008,STC,MN,St. Cloud Regional,St. Cloud,133,131,137,109
15016,STL,MO,St Louis Lambert International,St. Louis,82886,52938,56306,64739
15023,STS,CA,Charles M. Schulz - Sonoma County,Santa Rosa,4129,2815,3727,4709
15041,SUN,ID,Friedman Memorial,Sun Valley/Hailey/Ketchum,1598,1320,2098,1827
15048,SUX,IA,Sioux Gateway Brig Gen Bud Day Field,Sioux City,1293,718,871,684
15070,SWF,NY,New York Stewart International,Newburgh/Poughkeepsie,2853,950,718,843
15074,SWO,OK,Stillwater Regional,Stillwater,846,540,540,705
15096,SYR,NY,Syracuse Hancock International,Syracuse,17298,8451,11917,15282
15177,TEX,CO,Telluride Regional,Telluride,889,282,431,638
15249,TLH,FL,Tallahassee International,Tallahassee,7506,4437,5542,5597
15295,TOL,OH,Eugene F Kranz Toledo Express,Toledo,2057,1335,1295,860
15304,TPA,FL,Tampa International,Tampa,80691,51063,70386,74771
15323,TRI,TN,Tri Cities,Bristol/Johnson City/Kingsport,4381,3099,3519,3847
15356,TTN,NJ,Trenton Mercer,Trenton,2936,1181,1810,2171
15370,TUL,OK,Tulsa International,Tulsa,18303,11159,14349,16272
15374,TUP,MS,Tupelo Regional,Tupelo,992,879,784,702
15376,TUS,AZ,Tucson International,Tucson,19905,12462,15421,16211
15380,TVC,MI,Cherry Capital,Traverse City,5572,3747,5454,4772
15389,TWF,ID,Joslin Field - Magic Valley Regional,Twin Falls,1280,953,1179,435
