ORIGIN_AIRPORT_ID,CODE,NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",721,Airbus Industrie A321-200n,0.0,142.0,0.0,0.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",838,Boeing B737 Max 800,213.0,0.0,2341.0,1707.0
10333,APN,"Alpena, MI: Alpena County Regional",629,Canadair RJ-200ER /RJ-440,12439.0,6437.0,11792.0,13866.0
10361,ART,"Watertown, NY: Watertown International",629,Canadair RJ-200ER /RJ-440,6918.0,0.0,0.0,0.0
10361,ART,"Watertown, NY: Watertown International",631,Canadair RJ-700,36.0,0.0,0.0,0.0
10361,ART,"Watertown, NY: Watertown International",675,Embraer-145,15512.0,11563.0,19823.0,20243.0
10372,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",631,Canadair RJ-700,302079.0,183805.0,247784.0,299068.0
10372,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",638,Canadair CRJ 900,1834.0,0.0,0.0,0.0
10372,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",673,Embraer ERJ-175,3233.0,0.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",339,Airbus Industrie A330-900,265.0,87.0,8729.0,14370.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",359,Airbus Industrie A350-900,1881.0,1939.0,60196.0,161316.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",415,Cessna C208B/Grand Caravan,1930.0,1242.0,422.0,2216.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",458,Beechcraft Super King Air,0.0,0.0,1206.0,134.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",479,Pilatus PC-12,6801.0,3291.0,2580.0,935.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",530,Bombardier CRJ550,41.0,0.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",608,Boeing 717-200,2881661.0,2100765.0,3049631.0,4043961.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",612,Boeing 737-700/700LR/Max 7,4023050.0,1799130.0,2348412.0,2020587.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",614,Boeing 737-800,3134742.0,1702332.0,2452383.0,3765419.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",622,Boeing 757-200,4811308.0,1720325.0,3225595.0,6153060.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",623,Boeing 757-300,745137.0,363126.0,631960.0,784501.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",624,Boeing 767-400/ER,71164.0,94977.0,651104.0,146139.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",626,Boeing 767-300/300ER,248522.0,239774.0,847258.0,666496.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",627,Boeing 777-200ER/200LR/233LR,99922.0,34041.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",629,Canadair RJ-200ER /RJ-440,1567030.0,577725.0,563012.0,720442.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",631,Canadair RJ-700,258506.0,63200.0,33740.0,141902.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",634,Boeing 737-900,467.0,48.0,0.0,657.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",638,Canadair CRJ 900,1763209.0,1043891.0,2193762.0,906418.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,8133022.0,1050300.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",656,McDonnell Douglas MD-90,3390545.0,502351.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",673,Embraer ERJ-175,443770.0,254907.0,755244.0,527241.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",675,Embraer-145,280.0,92.0,47.0,105.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",677,Embraer-Emb-170,95746.0,52235.0,40381.0,26447.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",678,Embraer 190,208728.0,60559.0,165168.0,52762.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",687,Airbus Industrie A330-300/333,97019.0,74709.0,375426.0,253355.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",694,Airbus Industrie A320-100/200,3058550.0,1326599.0,2765781.0,4037456.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",696,Airbus Industrie A330-200,1493.0,5129.0,225334.0,87039.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",698,Airbus Industrie A319,960980.0,574598.0,888377.0,1201342.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",699,Airbus Industrie A321/Lr,5506780.0,2764615.0,6857468.0,8425800.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",721,Airbus Industrie A321-200n,288.0,1411.0,8365.0,44834.0
