ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,DEST_AIRPORT_ID,DEST,hub_cat_dest,NAME_DEST,DEST_STATE_ABR,2019,2020,2021,2022
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14771,SFO,L,San Francisco International,CA,876.0,316.0,468.0,427.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14831,SJC,M,Norman Y. Mineta San Jose International,CA,182.0,64.0,1.0,1.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14869,SLC,L,Salt Lake City International,UT,1017.0,910.0,1066.0,1065.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14893,SMF,M,Sacramento International,CA,1.0,2.0,4.0,3.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14908,SNA,M,John Wayne Airport-Orange County,CA,9.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,15016,STL,M,St Louis Lambert International,MO,3.0,1.0,4.0,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,15051,SVC,,,NM,883.0,775.0,843.0,882.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,15370,TUL,S,Tulsa International,OK,1.0,1.0,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,15376,TUS,S,Tucson International,AZ,2.0,1.0,2.0,3.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,15919,XNA,S,Northwest Arkansas National,AR,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10279,AMA,N,Rick Husband Amarillo International,TX,,2.0,3.0,1.0
