ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category
11470,EAT,WA,Pangborn Memorial,Wenatchee,10k-100k,no,loss,-48.7,at least -30%
11471,EAU,WI,Chippewa Valley Regional,Eau Claire,10k-100k,yes,loss,-29.2,at least -20%
11481,ECP,FL,Northwest Florida Beaches International,Panama City,100k-1 million,no,gain,11.9,at least 10%
11503,EGE,CO,Eagle County Regional,Eagle,100k-1 million,no,gain,22.9,at least 20%
11525,EKO,NV,Elko Regional,Elko,10k-100k,no,loss,-46.3,at least -30%
11531,ELD,AR,South Arkansas Regional at Goodwin Field,El Dorado,less than 10k,yes,gain,1.2,less than 10%
11537,ELM,NY,Elmira/Corning Regional,Elmira/Corning,100k-1 million,no,loss,-63.3,at least -30%
11540,ELP,TX,El Paso International,El Paso,1-5 million,no,loss,-8.4,less than -10%
11563,ENV,UT,Wendover Airport,Wendover,less than 10k,no,unchanged,,other
11577,ERI,PA,Erie International/Tom Ridge Field,Erie,100k-1 million,no,loss,-45.4,at least -30%
11587,ESC,MI,Delta County,Escanaba,10k-100k,yes,gain,14.5,at least 10%
11588,ESD,WA,Orcas Island,Eastsound,less than 10k,no,gain,14,at least 10%
11603,EUG,OR,Mahlon Sweet Field,Eugene,100k-1 million,no,gain,5.5,less than 10%
11612,EVV,IN,Evansville Regional,Evansville,100k-1 million,no,loss,-51.7,at least -30%
11615,EWB,MA,New Bedford Regional,New Bedford/Fall River,less than 10k,no,loss,-29.3,at least -20%
11617,EWN,NC,Coastal Carolina Regional,New Bern/Morehead/Beaufort,100k-1 million,no,loss,-51.1,at least -30%
11618,EWR,NJ,Newark Liberty International,Newark,more than 5 million,no,loss,-9,less than -10%
11624,EYW,FL,Key West International,Key West,100k-1 million,no,gain,10.7,at least 10%
11637,FAR,ND,Hector International,Fargo,100k-1 million,no,loss,-16.6,at least -10%
11638,FAT,CA,Fresno Yosemite International,Fresno,100k-1 million,no,loss,-16.1,at least -10%
11641,FAY,NC,Fayetteville Regional/Grannis Field,Fayetteville,100k-1 million,no,loss,-29.4,at least -20%
11646,FBS,WA,Friday Harbor Seaplane Base,Friday Harbor,less than 10k,no,gain,,other
11648,FCA,MT,Glacier Park International,Kalispell,100k-1 million,no,loss,-6.4,less than -10%
11650,FCM,MN,Flying Cloud,Minneapolis,less than 10k,no,loss,-100,at least -30%
11684,FKL,PA,Venango Regional,Franklin/Oil City,less than 10k,no,loss,-100,at least -30%
11695,FLG,AZ,Flagstaff Pulliam,Flagstaff,100k-1 million,no,loss,-19.5,at least -10%
11697,FLL,FL,Fort Lauderdale-Hollywood International,Fort Lauderdale,more than 5 million,no,loss,-16.4,at least -10%
11699,FLO,SC,Florence Regional,Florence,10k-100k,no,loss,-36.1,at least -30%
11711,FMN,NM,Four Corners Regional,Farmington,less than 10k,no,loss,-100,at least -30%
11719,FNL,CO,Northern Colorado Regional,Fort Collins/Loveland,less than 10k,no,gain,,other
11721,FNT,MI,Bishop International,Flint,100k-1 million,no,loss,-25.1,at least -20%
11725,FOD,IA,Fort Dodge Regional,Fort Dodge,less than 10k,yes,loss,-66.2,at least -30%
11726,FOE,KS,Topeka Regional,Topeka,less than 10k,no,loss,-100,at least -30%
11762,FRD,WA,Friday Harbor Airport,Friday Harbor,10k-100k,no,loss,-1.9,less than -10%
11775,FSD,SD,Joe Foss Field,Sioux Falls,100k-1 million,no,loss,-10.9,at least -10%
11778,FSM,AR,Fort Smith Regional,Fort Smith,10k-100k,no,loss,-35.1,at least -30%
11789,FTW,TX,Fort Worth Meacham International,Dallas/Fort Worth,less than 10k,no,unchanged,,other
11823,FWA,IN,Fort Wayne International,Fort Wayne,100k-1 million,no,loss,-23.6,at least -20%
11827,FXE,FL,Fort Lauderdale Executive,Fort Lauderdale,less than 10k,no,loss,-93.5,at least -30%
11865,GCC,WY,Northeast Wyoming Regional,Gillette,10k-100k,no,loss,-18.3,at least -10%
11867,GCK,KS,Garden City Regional,Garden City,10k-100k,yes,gain,1,less than 10%
11869,GCN,AZ,Grand Canyon National Park,Grand Canyon,less than 10k,no,loss,-100,at least -30%
11879,GDV,MT,Dawson Community,Glendive,less than 10k,yes,gain,41.2,at least 30%
11884,GEG,WA,Spokane International,Spokane,1-5 million,no,loss,-10.1,at least -10%
11898,GFK,ND,Grand Forks International,Grand Forks,100k-1 million,no,loss,-33.2,at least -30%
11905,GGG,TX,East Texas Regional,Longview,10k-100k,no,loss,-18,at least -10%
11908,GGW,MT,Wokal Field Glasgow Valley County,Glasgow,less than 10k,yes,gain,5.8,less than 10%
11921,GJT,CO,Grand Junction Regional,Grand Junction,100k-1 million,no,loss,-25.1,at least -20%
11931,GLH,MS,Greenville Mid Delta,Greenville,less than 10k,yes,loss,-33.3,at least -30%
11953,GNV,FL,Gainesville Regional,Gainesville,100k-1 million,no,loss,-28.9,at least -20%
11973,GPT,MS,Gulfport-Biloxi International,Gulfport/Biloxi,100k-1 million,no,loss,-18.3,at least -10%
11977,GRB,WI,Green Bay Austin Straubel International,Green Bay,100k-1 million,no,loss,-22.2,at least -20%
11980,GRI,NE,Central Nebraska Regional,Grand Island,10k-100k,yes,loss,-17.3,at least -10%
11982,GRK,TX,Robert Gray AAF,Killeen,100k-1 million,no,loss,-38.9,at least -30%
11986,GRR,MI,Gerald R. Ford International,Grand Rapids,1-5 million,no,loss,-22.9,at least -20%
11995,GSO,NC,Piedmont Triad International,Greensboro/High Point,1-5 million,no,loss,-34.2,at least -30%
11996,GSP,SC,Greenville-Spartanburg International,Greer,1-5 million,no,loss,-22.1,at least -20%
12003,GTF,MT,Great Falls International,Great Falls,100k-1 million,no,loss,-27,at least -20%
12007,GTR,MS,Golden Triangle Regional,Columbus,10k-100k,no,loss,-14.3,at least -10%
12012,GUC,CO,Gunnison-Crested Butte Regional,Gunnison,10k-100k,no,gain,24.7,at least 20%
12018,GUP,NM,Gallup Municipal,Gallup,less than 10k,no,gain,,other
12021,GUS,IN,Grissom ARB,Peru,less than 10k,no,loss,-100,at least -30%
12039,GWO,MS,Greenwood/Leflore,Greenwood,less than 10k,no,loss,-100,at least -30%
12054,GYR,AZ,Phoenix Goodyear,Goodyear,less than 10k,no,unchanged,,other
12055,GYY,IN,Gary/Chicago International,Gary,less than 10k,no,unchanged,,other
12094,HDN,CO,Yampa Valley,Hayden,100k-1 million,no,gain,42.4,at least 30%
12119,HGR,MD,Hagerstown Regional-Richard A. Henson Field,Hagerstown,10k-100k,no,loss,-81.8,at least -30%
12124,HHH,SC,Hilton Head Airport,Hilton Head,100k-1 million,no,gain,0.1,less than 10%
12127,HHR,CA,Jack Northrop Field/Hawthorne Municipal,Hawthorne,less than 10k,no,loss,-30.5,at least -30%
12129,HIB,MN,Range Regional,Hibbing,10k-100k,yes,gain,2.1,less than 10%
12156,HLN,MT,Helena Regional,Helena,100k-1 million,no,loss,-35.3,at least -30%
12177,HOB,NM,Lea County Regional,Hobbs,10k-100k,no,loss,-23.1,at least -20%
12190,HOT,AR,Memorial Field,Hot Springs,less than 10k,yes,gain,3.6,less than 10%
12191,HOU,TX,William P Hobby,Houston,more than 5 million,no,loss,-15.4,at least -10%
12197,HPN,NY,Westchester County,White Plains,100k-1 million,no,gain,1.5,less than 10%
12206,HRL,TX,Valley International,Harlingen/San Benito,100k-1 million,no,gain,4.4,less than 10%
12207,HRO,AR,Boone County,Harrison,less than 10k,yes,gain,4.9,less than 10%
12211,HSH,NV,Henderson Executive,Las Vegas,less than 10k,no,gain,,other
12217,HSV,AL,Huntsville International-Carl T Jones Field,Huntsville,100k-1 million,no,loss,-19.7,at least -10%
12222,HTO,NY,East Hampton Town,East Hampton,less than 10k,no,gain,,other
12223,HTS,WV,Tri-State/Milton J. Ferguson Field,Ashland,100k-1 million,no,loss,-28.5,at least -20%
12244,HVN,CT,Tweed New Haven,New Haven,10k-100k,no,gain,166.5,at least 30%
12245,HVR,MT,Havre City-County,Havre,less than 10k,yes,loss,-7.2,less than -10%
12250,HYA,MA,Cape Cod Gateway,Hyannis,10k-100k,no,loss,-53.3,at least -30%
12255,HYS,KS,Hays Regional,Hays,10k-100k,yes,loss,-43.1,at least -30%
12264,IAD,VA,Washington Dulles International,Washington,more than 5 million,no,loss,-18.1,at least -10%
12265,IAG,NY,Niagara Falls International,Niagara Falls,100k-1 million,no,loss,-53.6,at least -30%
12266,IAH,TX,George Bush Intercontinental/Houston,Houston,more than 5 million,no,loss,-17.4,at least -10%
12278,ICT,KS,Wichita Dwight D Eisenhower National,Wichita,100k-1 million,no,loss,-16.2,at least -10%
12280,IDA,ID,Idaho Falls Regional,Idaho Falls,100k-1 million,no,gain,60.7,at least 30%
12297,IGM,AZ,Kingman Airport,Kingman,less than 10k,no,loss,-100,at least -30%
12320,ILG,DE,New Castle,Wilmington,less than 10k,no,gain,,other
12323,ILM,NC,Wilmington International,Wilmington,100k-1 million,no,loss,-8.6,less than -10%
12335,IMT,MI,Ford,Iron Mountain/Kingsfd,10k-100k,yes,gain,8.1,less than 10%
