AIRCRAFT_TYPE,Description,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
612,Boeing 737-700/700LR/Max 7,20207.0,TEM Enterprises dba  Avelo Airlines,0.0,0.0,678.0,5812.0
614,Boeing 737-800,20207.0,TEM Enterprises dba  Avelo Airlines,0.0,0.0,2314.0,4102.0
415,Cessna C208B/Grand Caravan,22081.0,"Tailwind Air, LLC",0.0,0.0,11.0,82.0
638,Canadair CRJ 900,21712.0,Elite Airways LLC,0.0,0.0,261.0,29.0
678,Embraer 190,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,3476.0,5451.0
748,Embraer EMB195,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,1765.0,3788.0
194,Piper PA-31 (Navajo)/T-1020,21835.0,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",0.0,0.0,12.0,0.0
479,Pilatus PC-12,20272.0,Kenmore Air Harbor,0.0,0.0,8.0,3.0
415,Cessna C208B/Grand Caravan,21618.0,"Southern Airways Express, dba Mokulele Airlines",0.0,0.0,0.0,13084.0
721,Airbus Industrie A321-200n,19790.0,Delta Air Lines Inc.,0.0,0.0,0.0,3907.0
721,Airbus Industrie A321-200n,20436.0,Frontier Airlines Inc.,0.0,0.0,0.0,328.0
458,Beechcraft Super King Air,21618.0,"Southern Airways Express, dba Mokulele Airlines",0.0,0.0,0.0,12.0
724,A220-300 BD-500-1A11,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,0.0,3410.0
617,Boeing 737-400,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,0.0,2.0
694,Airbus Industrie A320-100/200,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,0.0,51.0
479,Pilatus PC-12,21618.0,"Southern Airways Express, dba Mokulele Airlines",0.0,0.0,0.0,340.0
609,Bombardier BD-100-1A10 Challenger 300,21894.0,"ADVANCED AIR, LLC",0.0,0.0,0.0,1.0
