ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
13241,MEI,MS,Key Field,Meridian,24688,9153,12080,20711
13244,MEM,TN,Memphis International,Memphis,2326342,1023661,1803734,2180345
13256,MFE,TX,McAllen Miller International,Mission/McAllen/Edinburg,413161,184013,416827,448568
13264,MFR,OR,Rogue Valley International - Medford,Medford,528075,244760,437107,504455
13277,MGM,AL,Montgomery Regional,Montgomery,196016,86074,130113,152411
13290,MHK,KS,Manhattan Regional,Manhattan/Ft. Riley,77823,32118,57211,73979
13296,MHT,NH,Manchester Boston Regional,Manchester,855049,310117,478349,644464
13303,MIA,FL,Miami International,Miami,10790948,5249699,11583394,14137031
13342,MKE,WI,General Mitchell International,Milwaukee,3381779,1272085,2245662,2657308
13344,MKG,MI,Muskegon County,Muskegon,19048,5774,12562,11092
13360,MLB,FL,Melbourne Orlando International,Melbourne,239639,110013,176053,219826
13367,MLI,IL,Quad Cities International,Moline,354068,149110,245815,268531
13377,MLU,LA,Monroe Regional,Monroe,113883,54667,82082,87338
13388,MMH,CA,Mammoth Lakes Airport,Mammoth Lakes,17164,6775,316,3986
13422,MOB,AL,Mobile Regional,Mobile,329093,158290,235872,261982
13433,MOT,ND,Minot International,Minot,163248,84683,125881,138818
13459,MQT,MI,Sawyer International,Marquette,59060,26856,51527,42543
13476,MRY,CA,Monterey Regional,Monterey,233023,85761,183615,224198
13485,MSN,WI,Dane County Regional-Truax Field,Madison,1161870,414781,696176,915413
13486,MSO,MT,Missoula Montana,Missoula,451887,209011,383717,424028
13487,MSP,MN,Minneapolis-St Paul International,Minneapolis,17586386,6647634,11833263,14167096
13495,MSY,LA,Louis Armstrong New Orleans International,New Orleans,6885526,2639146,4046162,5932038
13502,MTJ,CO,Montrose Regional,Montrose/Delta,159127,101447,189863,234805
13541,MVY,MA,Martha's Vineyard Airport,Martha's Vineyard,51300,17608,66399,68567
13543,MWA,IL,Veterans Airport of Southern Illinois,Marion/Herrin,10366,5358,8849,9319
13577,MYR,SC,Myrtle Beach International,Myrtle Beach,1333968,551174,1606129,1719611
16218,YUM,AZ,Yuma MCAS/Yuma International,Yuma,98027,53931,91353,87812
13795,OAJ,NC,Albert J Ellis,Jacksonville/Camp Lejeune,162142,105572,161383,136970
13796,OAK,CA,Metro Oakland International,Oakland,6282197,2157199,3869573,5385782
13829,OGD,UT,Ogden-Hinckley,Ogden,15835,8702,29373,11848
13832,OGS,NY,Ogdensburg International,Ogdensburg,26895,9199,10292,7888
13851,OKC,OK,Will Rogers World,Oklahoma City,2190710,953685,1668010,1988537
13871,OMA,NE,Eppley Airfield,Omaha,2480998,1047622,1854679,2234482
13891,ONT,CA,Ontario International,Ontario,2632338,1209294,2193523,2803055
13930,ORD,IL,Chicago O'Hare International,Chicago,34136831,12871164,23784074,27632668
13931,ORF,VA,Norfolk International,Norfolk,2015792,890281,1673234,2078910
13933,ORH,MA,Worcester Regional,Worcester,97006,20451,14082,79919
13964,OTH,OR,Southwest Oregon Regional,North Bend/Coos Bay,13246,6747,13331,16750
13983,OWB,KY,Owensboro Daviess County Regional,Owensboro,18421,9156,13390,15631
14004,PAE,WA,Snohomish County,Everett,389854,118386,114990,261443
14006,PAH,KY,Barkley Regional,Paducah,25239,6585,13482,17915
14025,PBG,NY,Plattsburgh International,Plattsburgh,125269,43652,40761,74583
14027,PBI,FL,Palm Beach International,West Palm Beach/Palm Beach,3408169,1489952,2575106,3242365
14057,PDX,OR,Portland International,Portland,9403137,3354713,5664519,6972796
14081,PGA,AZ,Page Municipal,Page,10192,4935,9591,9834
14082,PGD,FL,Punta Gorda Airport,Punta Gorda,821528,596854,783576,922345
14092,PGV,NC,Pitt Greenville,Greenville,52687,16628,31875,29535
14098,PHF,VA,Newport News/Williamsburg International,Newport News/Williamsburg,211507,71078,83355,80209
14100,PHL,PA,Philadelphia International,Philadelphia,14049533,5504565,9288399,10897128
14107,PHX,AZ,Phoenix Sky Harbor International,Phoenix,21573500,10207451,18505521,20928138
14108,PIA,IL,General Downing - Peoria International,Peoria,339122,160227,236273,284031
14109,PIB,MS,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,12535,7536,12988,13776
14112,PIE,FL,St Pete Clearwater International,St. Petersburg,1119067,687140,1002698,1192009
14113,PIH,ID,Pocatello Regional,Pocatello,43973,19528,23349,11095
14120,PIR,SD,Pierre Regional,Pierre,16971,8017,17483,16404
14122,PIT,PA,Pittsburgh International,Pittsburgh,4641012,1746216,3062084,3882860
14150,PLN,MI,Pellston Regional Airport of Emmet County,Pellston,32600,17504,29265,25693
14193,PNS,FL,Pensacola International,Pensacola,1109460,585650,1191251,1222143
14231,PQI,ME,Presque Isle International,Presque Isle/Houlton,13234,5271,11129,15409
14237,PRC,AZ,Prescott Regional Ernest A Love Field,Prescott,27779,13026,23555,24058
14252,PSC,WA,Tri Cities,Pasco/Kennewick/Richland,438068,190138,347232,391989
14259,PSM,NH,Portsmouth International at Pease,Portsmouth,61241,27858,40102,55716
14262,PSP,CA,Palm Springs International,Palm Springs,1088250,545158,1015781,1372062
14288,PUB,CO,Pueblo Memorial,Pueblo,17223,6266,11754,9437
14303,PUW,WA,Pullman Moscow Regional,Pullman,69555,31533,51752,72296
14306,PVC,MA,Provincetown Municipal,Provincetown,10432,2816,7642,7308
14307,PVD,RI,Rhode Island Tf Green International,Providence,1944732,647938,1159486,1567407
14314,PVU,UT,Provo Municipal,Provo,109385,75352,116833,209100
14321,PWM,ME,Portland International Jetport,Portland,1088598,403961,853272,981748
14457,RAP,SD,Rapid City Regional,Rapid City,343992,177414,339364,333087
14487,RDD,CA,Redding Municipal,Redding,51697,19091,58268,98618
