AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,AIRCRAFT_FAMILY,2019,2020,2021,2022
21636.0,Gem Air LLC,194,Piper PA-31 (Navajo)/T-1020,Boeing 787,30.0,23.0,20.0,0.0
21835.0,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",194,Piper PA-31 (Navajo)/T-1020,Boeing 787,0.0,0.0,12.0,0.0
21636.0,Gem Air LLC,195,Piper PA-34/39 (Twin Commanche),Small twin turboprop,13.0,6.0,6.0,0.0
21477.0,Via Airlines d/b/a Sterling Airways,461,Embraer EMB-120 Brasilia,Small twin turboprop,4.0,0.0,0.0,0.0
20257.0,Bemidji Airlines,133,Beech 65/65A-80/65B-80 (Queen Air),Small twin turboprop,1.0,0.0,1.0,1.0
20273.0,New England Airlines Inc.,79,Piper PA-32 (Cherokee 6),Single turboprop,34.0,13.0,128.0,6.0
20273.0,New England Airlines Inc.,131,Pilatus Britten-Norman BN2/A Islander,Small twin turboprop,8208.0,6497.0,7930.0,7438.0
21636.0,Gem Air LLC,131,Pilatus Britten-Norman BN2/A Islander,Small twin turboprop,0.0,5.0,12.0,0.0
20272.0,Kenmore Air Harbor,30,Cessna 180,Single turboprop,12.0,8.0,0.0,1.0
20272.0,Kenmore Air Harbor,40,De Havilland DHC2 Beaver,Single turboprop,785.0,438.0,483.0,820.0
20289.0,Friday Harbor Seaplanes,40,De Havilland DHC2 Beaver,Single turboprop,470.0,289.0,738.0,641.0
20272.0,Kenmore Air Harbor,42,De Havilland DHC3 Otter,Single turboprop,2634.0,730.0,1647.0,1818.0
20272.0,Kenmore Air Harbor,91,Float/Amphib Turbine,Single turboprop,222.0,110.0,270.0,314.0
19790.0,Delta Air Lines Inc.,724,A220-300 BD-500-1A11,Airbus A220,0.0,194.0,9255.0,16436.0
20409.0,JetBlue Airways,724,A220-300 BD-500-1A11,Airbus A220,0.0,0.0,2501.0,12225.0
22080.0,Breeze Aviation Group DBA  Breeze,724,A220-300 BD-500-1A11,Airbus A220,0.0,0.0,0.0,3410.0
21492.0,"Eastern Airlines f/k/a Dynamic Airways, LLC",625,Boeing 767-200/ER/EM,Boeing 767,0.0,2.0,0.0,0.0
21894.0,"ADVANCED AIR, LLC",449,Dornier 328,Dornier 328 Jet,0.0,0.0,132.0,576.0
22080.0,Breeze Aviation Group DBA  Breeze,748,Embraer EMB195,Embraer E-jet,0.0,0.0,1765.0,3788.0
22080.0,Breeze Aviation Group DBA  Breeze,617,Boeing 737-400,Boeing 737,0.0,0.0,0.0,2.0
21894.0,"ADVANCED AIR, LLC",609,Bombardier BD-100-1A10 Challenger 300,Bombardier CRJ,0.0,0.0,0.0,1.0
