ORIGIN_AIRPORT_ID,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10243,"Akhiok, AK: Akhiok Airport",20443.0,Island Air Service,416.0,11.0,4.0,24.0,14.0,13.0,6.0,9.0,,57.0,2.0,9.0,12.0,161.0
10245,"King Salmon, AK: King Salmon Airport",20225.0,Peninsula Airways Inc.,432.0,1067.0,960.0,809.0,1435.0,1917.0,1271.0,5620.0,3725.0,2410.0,1735.0,2073.0,1443.0,24465.0
10245,"King Salmon, AK: King Salmon Airport",20225.0,Peninsula Airways Inc.,456.0,45.0,68.0,,,,,,,,,,,113.0
10245,"King Salmon, AK: King Salmon Airport",20327.0,"Northern Pacific Airways, Inc. Dba  Ravn Alaska",483.0,308.0,470.0,559.0,158.0,417.0,591.0,484.0,581.0,367.0,295.0,190.0,1048.0,5468.0
10245,"King Salmon, AK: King Salmon Airport",20455.0,Grant Aviation,35.0,45.0,42.0,44.0,60.0,129.0,343.0,276.0,103.0,101.0,80.0,49.0,56.0,1328.0
10245,"King Salmon, AK: King Salmon Airport",20455.0,Grant Aviation,416.0,39.0,38.0,65.0,64.0,204.0,446.0,340.0,143.0,111.0,133.0,91.0,73.0,1747.0
10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",20333.0,Wright Air Service,416.0,229.0,172.0,224.0,226.0,273.0,187.0,204.0,289.0,174.0,214.0,189.0,248.0,2629.0
10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",20336.0,Hageland Aviation Service,405.0,0.0,9.0,9.0,,,,,,0.0,,,,18.0
10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",20408.0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,416.0,7.0,14.0,23.0,1.0,3.0,,21.0,25.0,5.0,12.0,,10.0,121.0
10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",20408.0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,479.0,16.0,10.0,48.0,30.0,86.0,40.0,28.0,31.0,33.0,90.0,44.0,71.0,527.0
10257,"Albany, NY: Albany International",19393.0,Southwest Airlines Co.,612.0,28470.0,26929.0,33379.0,21140.0,18127.0,21937.0,28244.0,29042.0,24495.0,25308.0,27396.0,27574.0,312041.0
10257,"Albany, NY: Albany International",19393.0,Southwest Airlines Co.,614.0,10408.0,10178.0,12173.0,23986.0,26062.0,15988.0,15500.0,12714.0,8590.0,16233.0,10095.0,10755.0,172682.0
10257,"Albany, NY: Albany International",19393.0,Southwest Airlines Co.,838.0,924.0,605.0,588.0,,,,,,,,,,2117.0
10257,"Albany, NY: Albany International",19790.0,Delta Air Lines Inc.,608.0,609.0,,2110.0,42.0,,,1596.0,3177.0,2610.0,94.0,,1830.0,12068.0
10257,"Albany, NY: Albany International",19790.0,Delta Air Lines Inc.,655.0,9164.0,9321.0,10865.0,10849.0,10774.0,9529.0,10139.0,9878.0,271.0,,4610.0,475.0,85875.0
10257,"Albany, NY: Albany International",19805.0,American Airlines Inc.,698.0,8859.0,6717.0,6009.0,3793.0,8195.0,3873.0,3768.0,3843.0,3597.0,3782.0,3541.0,3369.0,59346.0
10257,"Albany, NY: Albany International",19805.0,American Airlines Inc.,699.0,153.0,245.0,,,549.0,86.0,,,,,,78.0,1111.0
10257,"Albany, NY: Albany International",19977.0,United Air Lines Inc.,612.0,370.0,67.0,,123.0,823.0,1540.0,1843.0,1712.0,1649.0,1294.0,122.0,,9543.0
10257,"Albany, NY: Albany International",19977.0,United Air Lines Inc.,614.0,2821.0,1666.0,,,118.0,3286.0,3625.0,2413.0,3214.0,4353.0,3072.0,3012.0,27580.0
10257,"Albany, NY: Albany International",19977.0,United Air Lines Inc.,694.0,438.0,1911.0,1279.0,4653.0,536.0,1628.0,4471.0,4857.0,2477.0,3007.0,283.0,982.0,26522.0
10257,"Albany, NY: Albany International",19977.0,United Air Lines Inc.,698.0,622.0,124.0,1872.0,1475.0,6584.0,2312.0,926.0,622.0,1021.0,1688.0,113.0,1104.0,18463.0
10257,"Albany, NY: Albany International",20046.0,Air Wisconsin Airlines Corp,629.0,2207.0,2299.0,2087.0,1847.0,1422.0,388.0,313.0,493.0,245.0,355.0,1986.0,3614.0,17256.0
10257,"Albany, NY: Albany International",20253.0,Cape Air,125.0,671.0,645.0,910.0,923.0,52.0,,,,,,,,3201.0
10257,"Albany, NY: Albany International",20304.0,SkyWest Airlines Inc.,629.0,283.0,,835.0,430.0,1332.0,353.0,,,,68.0,667.0,379.0,4347.0
10257,"Albany, NY: Albany International",20304.0,SkyWest Airlines Inc.,631.0,181.0,130.0,65.0,1368.0,10153.0,4443.0,3961.0,3906.0,3073.0,3329.0,2190.0,3362.0,36161.0
10257,"Albany, NY: Albany International",20304.0,SkyWest Airlines Inc.,673.0,906.0,,,,94.0,22.0,,,91.0,144.0,456.0,76.0,1789.0
10257,"Albany, NY: Albany International",20363.0,Endeavor Air Inc.,638.0,1338.0,1595.0,121.0,76.0,,1849.0,2665.0,3130.0,1563.0,174.0,1572.0,416.0,14499.0
10257,"Albany, NY: Albany International",20366.0,ExpressJet Airlines LLC d/b/a aha!,629.0,340.0,,196.0,,,,,,,,,,536.0
10257,"Albany, NY: Albany International",20366.0,ExpressJet Airlines LLC d/b/a aha!,675.0,1080.0,1755.0,2134.0,857.0,24.0,91.0,143.0,50.0,,99.0,36.0,444.0,6713.0
10257,"Albany, NY: Albany International",20368.0,Allegiant Air,694.0,1769.0,3222.0,4339.0,4092.0,1771.0,3915.0,4147.0,4602.0,3528.0,3862.0,3068.0,3389.0,41704.0
