ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20416,Spirit Air Lines,722,Airbus Industrie A320-200n,774.0,926.0,1762.0,2228.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,723,A200-100 BD-500-1A10,9.0,138.0,2.0,1.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19393,Southwest Airlines Co.,838,Boeing B737 Max 800,225.0,,740.0,1284.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,838,Boeing B737 Max 800,9.0,,233.0,130.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,888,Boeing 737-900ER,35019.0,21214.0,35032.0,31482.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19930,Alaska Airlines Inc.,888,Boeing 737-900ER,553.0,417.0,495.0,482.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,888,Boeing 737-900ER,349.0,76.0,140.0,287.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20422,Sun Country Airlines d/b/a MN Airlines,614,Boeing 737-800,,1.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19930,Alaska Airlines Inc.,634,Boeing 737-900,,2.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20378,Mesa Airlines Inc.,638,Canadair CRJ 900,,3.0,1.0,
