ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19393,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,1,,6523,8686
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,614,Boeing 737-800,45232,16951,20994,32066
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19930,Alaska Airlines Inc.,614,Boeing 737-800,317,181,356,381
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,614,Boeing 737-800,14039,6076,9301,12377
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,614,Boeing 737-800,416,212,69,18
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20422,Sun Country Airlines d/b/a MN Airlines,614,Boeing 737-800,227,93,106,122
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,622,Boeing 757-200,9,1,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,622,Boeing 757-200,817,271,260,717
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,622,Boeing 757-200,9,1,234,227
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,623,Boeing 757-300,5445,2663,3175,3059
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,624,Boeing 767-400/ER,9,3,29,96
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,626,Boeing 767-300/300ER,113,17,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,626,Boeing 767-300/300ER,308,349,505,327
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,627,Boeing 777-200ER/200LR/233LR,21,192,354,18
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,1735,969,822,1618
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20046,Air Wisconsin Airlines Corp,629,Canadair RJ-200ER /RJ-440,36767,17192,24153,26402
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20304,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,22803,11622,14732,15851
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20363,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,1118,261,2,1
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20366,ExpressJet Airlines LLC d/b/a aha!,629,Canadair RJ-200ER /RJ-440,2186,,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20397,PSA Airlines Inc.,629,Canadair RJ-200ER /RJ-440,9,,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20304,SkyWest Airlines Inc.,631,Canadair RJ-700,25213,14504,18378,12975
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20397,PSA Airlines Inc.,631,Canadair RJ-700,487,,1,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20398,Envoy Air,631,Canadair RJ-700,7768,,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20500,GoJet Airlines LLC d/b/a United Express,631,Canadair RJ-700,8003,549,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19930,Alaska Airlines Inc.,634,Boeing 737-900,161,87,164,144
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,634,Boeing 737-900,190,22,1,80
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,637,Boeing 777-300/300ER/333ER,8,13,13,1
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,637,Boeing 777-300/300ER/333ER,13,82,354,298
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20363,Endeavor Air Inc.,638,Canadair CRJ 900,1147,1118,705,818
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20397,PSA Airlines Inc.,638,Canadair CRJ 900,11,1,1,2
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20304,SkyWest Airlines Inc.,638,Canadair CRJ 900,732,949,1661,360
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20500,GoJet Airlines LLC d/b/a United Express,638,Canadair CRJ 900,172,20,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,1393,214,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,8,,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,656,McDonnell Douglas MD-90,1258,58,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20304,SkyWest Airlines Inc.,673,Embraer ERJ-175,13420,10799,13623,18874
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20398,Envoy Air,673,Embraer ERJ-175,18931,13016,13186,13982
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20452,Republic Airline,673,Embraer ERJ-175,6091,10183,23266,8720
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20366,ExpressJet Airlines LLC d/b/a aha!,673,Embraer ERJ-175,2039,2992,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20237,Trans States Airlines,675,Embraer-145,12143,2574,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20366,ExpressJet Airlines LLC d/b/a aha!,675,Embraer-145,8337,2225,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20398,Envoy Air,675,Embraer-145,37528,21543,22350,22465
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20445,CommuteAir LLC dba CommuteAir,675,Embraer-145,86,66,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20427,Piedmont Airlines,675,Embraer-145,1,209,4733,2608
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20398,Envoy Air,676,Embraer-140,1918,749,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20452,Republic Airline,677,Embraer-Emb-170,7464,7566,9551,5488
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20409,JetBlue Airways,678,Embraer 190,2048,788,542,570
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,694,Airbus Industrie A320-100/200,433,537,1233,1705
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,694,Airbus Industrie A320-100/200,291,809,2518,1498
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19930,Alaska Airlines Inc.,694,Airbus Industrie A320-100/200,854,402,136,432
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,694,Airbus Industrie A320-100/200,12920,5252,6516,12173
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20409,JetBlue Airways,694,Airbus Industrie A320-100/200,542,236,422,356
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20416,Spirit Air Lines,694,Airbus Industrie A320-100/200,4320,2559,1768,2922
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20436,Frontier Airlines Inc.,694,Airbus Industrie A320-100/200,542,401,270,61
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19690,Hawaiian Airlines Inc.,696,Airbus Industrie A330-200,1,,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,698,Airbus Industrie A319,2585,708,181,491
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,698,Airbus Industrie A319,3824,4881,6392,6816
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19930,Alaska Airlines Inc.,698,Airbus Industrie A319,572,12,,
